User: Muhammed	   ID: 2b3534e9-1730-40a5-af2d-372b17994b11	   BirthDay: 03.02.1982 0:00:00	   Student:False  	 Date:  17.06.2022 12:14:17

User: Igor	   ID: 42760018-a99a-448d-84ca-d7aba32c02bd	   BirthDay: 12.07.2004 0:00:00	   Student:True  	 Date:  17.06.2022 12:16:17

User: Mike	   ID: c0831a7d-183c-4d31-8a23-951d83dcca28	   BirthDay: 13.06.2009 0:00:00	   Student:False  	 Date:  17.06.2022 12:16:17

User: Olga	   ID: 4571c9a0-9a68-4a8f-999e-b559403e88ac	   BirthDay: 24.01.2000 0:00:00	   Student:True  	 Date:  17.06.2022 12:16:17

User: Vadim	   ID: 3c9562b0-1ead-4efa-9ae4-8aabbf7665a5	   BirthDay: 30.01.2003 0:00:00	   Student:True  	 Date:  17.06.2022 12:16:17

User: John	   ID: 26475016-de3e-4d48-96f4-d08e302fcc87	   BirthDay: 21.07.2001 0:00:00	   Student:False  	 Date:  17.06.2022 12:16:17

User: Muhammed	   ID: db1f74d2-7458-48be-b792-7a488d6558a6	   BirthDay: 03.02.1982 0:00:00	   Student:False  	 Date:  17.06.2022 12:16:17

User: Igor	   ID: 75be055f-a79f-4eb3-95a8-c9c3e8457d93	   BirthDay: 12.07.2004 0:00:00	   Student:True  	 Date:  17.06.2022 12:16:56

User: Mike	   ID: d63eea4d-11e4-4806-a814-67503cad3a51	   BirthDay: 13.06.2009 0:00:00	   Student:False  	 Date:  17.06.2022 12:16:56

User: Olga	   ID: dc34abde-5064-4193-a74b-915a917112f6	   BirthDay: 24.01.2000 0:00:00	   Student:True  	 Date:  17.06.2022 12:16:56

User: Vadim	   ID: 2fad56e1-bf83-4988-8232-5b899ce26596	   BirthDay: 30.01.2003 0:00:00	   Student:True  	 Date:  17.06.2022 12:16:56

User: John	   ID: 539465c2-328c-4385-a8f9-c985e0520861	   BirthDay: 21.07.2001 0:00:00	   Student:False  	 Date:  17.06.2022 12:16:56

User: Muhammed	   ID: 7db86c52-f83b-4911-b310-6e57d7641ed6	   BirthDay: 03.02.1982 0:00:00	   Student:False  	 Date:  17.06.2022 12:16:56

User: Igor	   ID: 1d140b88-edbd-4812-86e2-4ab17cff816c	   BirthDay: 12.07.2004 0:00:00	   Student:True  	 Date:  17.06.2022 12:17:36

User: Mike	   ID: 74006c35-5718-4ab3-b0a5-8d0db9f55754	   BirthDay: 13.06.2009 0:00:00	   Student:False  	 Date:  17.06.2022 12:17:36

User: Olga	   ID: ebc3f105-e892-4c6b-b8bc-a89ef0b9d2e8	   BirthDay: 24.01.2000 0:00:00	   Student:True  	 Date:  17.06.2022 12:17:36

User: Vadim	   ID: 9f186236-4465-4382-9299-66223c7b71f2	   BirthDay: 30.01.2003 0:00:00	   Student:True  	 Date:  17.06.2022 12:17:36

User: John	   ID: 1342a2cf-1d99-4ac9-9634-73aafeabbc4a	   BirthDay: 21.07.2001 0:00:00	   Student:False  	 Date:  17.06.2022 12:17:36

User: Muhammed	   ID: 59828c23-6047-45a4-b03a-0f6f6a6b5585	   BirthDay: 03.02.1982 0:00:00	   Student:False  	 Date:  17.06.2022 12:17:36

User: Igor	   ID: 553f7763-bafa-49a2-9e45-9d6994abb3d6	   BirthDay: 12.07.2004 0:00:00	   Student:True  	 Date:  17.06.2022 12:21:04

User: Mike	   ID: e70ba1bb-5445-4c7b-8609-35d1758b4401	   BirthDay: 13.06.2009 0:00:00	   Student:False  	 Date:  17.06.2022 12:21:04

User: Olga	   ID: 38afb19d-926b-4b0d-8886-c1c3c2521550	   BirthDay: 24.01.2000 0:00:00	   Student:True  	 Date:  17.06.2022 12:21:04

User: Vadim	   ID: e64de385-9943-4172-a970-fe70d9e8ba1b	   BirthDay: 30.01.2003 0:00:00	   Student:True  	 Date:  17.06.2022 12:21:04

User: John	   ID: b672d7b1-84d4-4a1c-9993-7dfc69de0bb6	   BirthDay: 21.07.2001 0:00:00	   Student:False  	 Date:  17.06.2022 12:21:04

User: Muhammed	   ID: f2ce4939-ea24-476e-8e04-a9c148777b57	   BirthDay: 03.02.1982 0:00:00	   Student:False  	 Date:  17.06.2022 12:21:04

User: Maiga	   ID: f0cb89db-ee59-4baa-a472-6f996494f95b	   BirthDay: 17.03.2009 0:00:00	   Student:False  	 Date:  17.06.2022 12:21:23

User: Igor	   ID: c14fc690-5dfc-4b2c-bf92-6434a7e348f0	   BirthDay: 12.07.2004 0:00:00	   Student:True  	 Date:  17.06.2022 12:52:00

User: Mike	   ID: f674be56-3025-42ae-ba19-860c7f1eac68	   BirthDay: 13.06.2009 0:00:00	   Student:False  	 Date:  17.06.2022 12:52:00

User: Olga	   ID: a5b1c2b3-1f12-4c3a-9c7c-e67006e50cc9	   BirthDay: 24.01.2000 0:00:00	   Student:True  	 Date:  17.06.2022 12:52:00

User: Vadim	   ID: 53e2791d-44a8-495a-b613-7c58d8f4506c	   BirthDay: 30.01.2003 0:00:00	   Student:True  	 Date:  17.06.2022 12:52:00

User: John	   ID: de9d7f0a-0812-4d76-b24e-1dc8a103897f	   BirthDay: 21.07.2001 0:00:00	   Student:False  	 Date:  17.06.2022 12:52:00

User: Muhammed	   ID: 55d339c0-1127-4151-a556-423e5896ed9b	   BirthDay: 03.02.1982 0:00:00	   Student:False  	 Date:  17.06.2022 12:52:00

User: Igor	   ID: fd66e2ce-32d7-4fee-a72b-3856f13a3a8d	   BirthDay: 12.07.2004 0:00:00	   Student:True  	 Date:  17.06.2022 12:53:42

User: Mike	   ID: 6159c83a-2cbc-4b89-b042-677e3f78e034	   BirthDay: 13.06.2009 0:00:00	   Student:False  	 Date:  17.06.2022 12:53:42

User: Olga	   ID: e4e395b0-7f77-44e8-bdff-b40d6d594b7e	   BirthDay: 24.01.2000 0:00:00	   Student:True  	 Date:  17.06.2022 12:53:42

User: Vadim	   ID: d6e3e7df-6470-4746-9c0a-f6bfbca7040d	   BirthDay: 30.01.2003 0:00:00	   Student:True  	 Date:  17.06.2022 12:53:42

